Отметка времени,Как к вам стоит обращаться?,Укажите вашу специальность,В каком формате ваше обучение проходит сейчас?,Какая форма наиболее предпочтительна вам?,Почему?,"Сколько в среднем часов в день вы тратите на учебу, не считая посещения пар?",Сколько дней в неделю вы не высыпаетесь из-за учебы?,Насколько вы довольны своим общением в однокурсниками?,Насколько вы довольны своим общением в преподавателями?,Насколько вы довольны своей успеваемостью по учебе?,Насколько вам хватает времени и сил на учебу?,Оцените насколько по вашему мнению учеба влияет на ваш уровень стресса?,"Трудность сосредоточения, спутанное мышление",Ухудшение показателей памяти,Постоянная зацикленность мыслей на одной проблеме,"Нежелание брать на себя ответственность, попытки её переложить","Импульсивность мышления, поспешные и необоснованные решения",Потеря аппетита или переедание,Возрастание ошибок при выполнении привычных действий,Увеличение конфликтных ситуаций на работе или в семье,"Уменьшение времени, которое уделяется на общение с близкими и друзьями",Низкая продуктивность,Нарушение сна или бессонница,"Обострение зависимостей (курение, алкоголь, импульсивные покупки, компьютерные игры, сладкое и тд)","Беспокойство, повышенная тревожность","Ощущение постоянной тоски, подавленность","Раздражительность, приступы гнева","Циничный, неуместный юмор","Чувство отчужденности, одиночества","Снижение самооценки, появление чувства вины или недовольства собой или своей работой","Боли в разных частях тела неопределенного характера, головные боли",Учащенный или неритмичный пульс,"Нарушение процессов пищеварения (запор, диарея, повышенное газообразование)",Ощущение напряжения в мышцах,Повышенная утомляемость,Повышенная потливость,"Дрожь в руках, судороги",Быстрое увеличение или потеря веса тела ,Я испытываю удовольствие,Я быстро устаю,Я легко могу заплакать,"Мне кажется, что другие люди счастливее меня","Бывает, что я проигрываю из-за того, что недостаточно быстро принимаю решения",Я чувствую себя бодрым,"Я спокоен, хладнокровен и собран",Ожидание трудностей очень тревожит меня,Я слишком переживаю из-за пустяков,Я бываю вполне счастлив,Я принимаю все близко к сердцу,Мне не хватает уверенности в себе,Я чувствую себя в безопасности,Я стараюсь избегать критических ситуаций и трудностей,У меня часто бывает мрачное настроение,Я бываю доволен,Незначительные вещи легко отвлекают и волнуют меня,"Я так сильно переживаю свои разочарования, что потом долго не могу о них забыть",Я уравновешенный человек,"Меня охватывает сильное беспокойство, когда я думаю о своих делах и заботах"
20.04.2021 22:47:49,,Техническая,Смешанный формат,Очно в вузе,,1-3 часа,5,5,5,4,3,5,3,3,4,4,3,5,2,2,2,2,2,2,2,4,4,1,4,3,1,1,1,1,3,3,1,1,Верно,Верно,Совершенно верно,"Нет, это совсем не так",Пожалуй так,"Нет, это совсем не так","Нет, это совсем не так",Совершенно верно,Совершенно верно,Верно,Верно,"Нет, это совсем не так",Пожалуй так,Пожалуй так,Пожалуй так,Верно,Совершенно верно,Совершенно верно,Верно,Верно
20.04.2021 22:48:23,Анастасия ,Техническая,Смешанный формат,Смешанный формат,"Удобнее слушать лекции дистанционно, лабораторные-очно",1-3 часа,3,5,3,4,3,2,3,3,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,3,1,1,1,4,1,1,1,Верно,Пожалуй так,"Нет, это совсем не так","Нет, это совсем не так","Нет, это совсем не так",Пожалуй так,Пожалуй так,"Нет, это совсем не так","Нет, это совсем не так",Совершенно верно,"Нет, это совсем не так","Нет, это совсем не так",Верно,Верно,Пожалуй так,Совершенно верно,"Нет, это совсем не так","Нет, это совсем не так",Верно,Пожалуй так
20.04.2021 23:04:39,Porohovnik,Техническая,Смешанный формат,Очно в вузе,"Когда встаёшл то в 7 до в 9 то в 10 организм не может привыкнуть, а когда всегда в одно время организму от этого намного приятнее",3-6 часов,3,5,4,4,4,4,2,2,2,3,4,1,3,1,2,2,2,5,2,2,2,3,1,1,5,3,2,3,5,2,2,1,Верно,Верно,"Нет, это совсем не так","Нет, это совсем не так",Верно,Пожалуй так,Пожалуй так,Верно,Пожалуй так,Верно,Верно,"Нет, это совсем не так","Нет, это совсем не так",Верно,Пожалуй так,Совершенно верно,Пожалуй так,"Нет, это совсем не так",Верно,Пожалуй так
20.04.2021 23:13:33,,Техническая,Смешанный формат,Смешанный формат,,Более 6 часов,3,4,2,3,1,5,3,5,5,5,4,5,4,3,5,5,3,5,5,5,3,4,5,5,5,3,3,4,5,3,2,5,"Нет, это совсем не так",Совершенно верно,Совершенно верно,Совершенно верно,Совершенно верно,"Нет, это совсем не так","Нет, это совсем не так",Верно,Совершенно верно,Пожалуй так,Совершенно верно,Совершенно верно,"Нет, это совсем не так",Совершенно верно,Совершенно верно,Пожалуй так,Совершенно верно,Совершенно верно,"Нет, это совсем не так",Совершенно верно
20.04.2021 23:14:03,Алексей,Техническая,Смешанный формат,Очно в вузе,Не терплю профанаций,3-6 часов,4,1,4,3,2,5,1,2,2,1,1,5,2,2,4,3,1,1,4,4,4,5,4,1,2,1,1,1,3,3,1,1,"Нет, это совсем не так",Пожалуй так,"Нет, это совсем не так",Верно,"Нет, это совсем не так","Нет, это совсем не так",Пожалуй так,Верно,Верно,"Нет, это совсем не так",Верно,Пожалуй так,"Нет, это совсем не так","Нет, это совсем не так",Совершенно верно,"Нет, это совсем не так",Пожалуй так,Пожалуй так,"Нет, это совсем не так",Верно
20.04.2021 23:14:11,Саша,Техническая,Смешанный формат,Смешанный формат,Появляется возможность более продуктивно проводить время. ,3-6 часов,2,2,2,4,5,1,1,3,2,1,2,1,2,1,4,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,Верно,Пожалуй так,"Нет, это совсем не так","Нет, это совсем не так","Нет, это совсем не так",Верно,Верно,"Нет, это совсем не так","Нет, это совсем не так",Верно,Пожалуй так,Пожалуй так,Верно,"Нет, это совсем не так",Пожалуй так,Верно,"Нет, это совсем не так","Нет, это совсем не так",Пожалуй так,"Нет, это совсем не так"
20.04.2021 23:14:28,,Техническая,Смешанный формат,Дистанционно,очень долго ехать от дома до института ,Более 6 часов,3,5,4,1,2,5,5,5,5,4,2,4,5,2,4,4,4,4,4,4,2,5,5,4,4,1,1,2,4,1,5,3,"Нет, это совсем не так",Верно,Пожалуй так,Пожалуй так,"Нет, это совсем не так","Нет, это совсем не так","Нет, это совсем не так",Верно,Пожалуй так,"Нет, это совсем не так",Пожалуй так,Пожалуй так,"Нет, это совсем не так",Пожалуй так,Совершенно верно,Пожалуй так,Верно,"Нет, это совсем не так",Совершенно верно,Совершенно верно
20.04.2021 23:21:31,,Техническая,Дистанционно,Очно в вузе,,Более 6 часов,6,4,2,3,2,5,4,2,5,4,3,4,3,3,4,5,5,5,4,3,3,5,2,4,5,2,3,1,5,5,4,1,Пожалуй так,Совершенно верно,"Нет, это совсем не так",Верно,Совершенно верно,"Нет, это совсем не так",Верно,Верно,Верно,Пожалуй так,Верно,Совершенно верно,"Нет, это совсем не так",Совершенно верно,Совершенно верно,Верно,Верно,Пожалуй так,Верно,Верно
20.04.2021 23:21:53,Саша,Техническая,Смешанный формат,Смешанный формат,Появляется возможность более продуктивно проводить время. ,3-6 часов,2,2,2,4,5,1,1,3,2,1,2,1,2,1,4,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,Верно,Пожалуй так,"Нет, это совсем не так","Нет, это совсем не так","Нет, это совсем не так",Верно,Верно,"Нет, это совсем не так","Нет, это совсем не так",Верно,Пожалуй так,Пожалуй так,Верно,"Нет, это совсем не так",Пожалуй так,Верно,"Нет, это совсем не так","Нет, это совсем не так",Пожалуй так,"Нет, это совсем не так"
20.04.2021 23:48:51,Максимус,Техническая,Смешанный формат,Очно в вузе,Не хватает общения дистанционно,Более 6 часов,3,4,3,4,4,3,3,2,2,2,2,4,3,2,4,2,3,2,3,3,2,3,3,2,4,3,2,4,4,3,2,2,Пожалуй так,Пожалуй так,"Нет, это совсем не так","Нет, это совсем не так","Нет, это совсем не так",Пожалуй так,"Нет, это совсем не так","Нет, это совсем не так",Пожалуй так,Верно,Верно,Пожалуй так,Пожалуй так,"Нет, это совсем не так","Нет, это совсем не так",Пожалуй так,Пожалуй так,"Нет, это совсем не так",Верно,"Нет, это совсем не так"
20.04.2021 23:55:31,Юрий,Техническая,Смешанный формат,Смешанный формат,"Не нужно ходить в университет на пары, которые без потерь можно провести дистанционно, можно работать)",Менее часа,7,3,5,3,3,2,4,4,5,4,2,5,4,2,2,5,4,5,5,5,2,2,5,5,2,2,2,1,3,1,2,2,Пожалуй так,Верно,"Нет, это совсем не так",Совершенно верно,Верно,"Нет, это совсем не так",Пожалуй так,"Нет, это совсем не так",Верно,Верно,Пожалуй так,Совершенно верно,"Нет, это совсем не так",Пожалуй так,Совершенно верно,Пожалуй так,Совершенно верно,Совершенно верно,Пожалуй так,Верно
21.04.2021 0:15:23,,Другое,Очно в вузе,Смешанный формат,"Гораздо проще сосредотачиваться и быть продуктивным в очном формате, потому как, если уж пришел в вуз, то что-то надо делать. И так же удобно взаимодействовать с преподавателем и получать общение и помощь от одногруппников. Но иногда, мне кажется, нужны денёчки в дистанционном формате, чтобы выспаться, не тратить время на дорогу и комфортно в своем темпе посамообучаться или быть на лекции онлайн.",Менее часа,3,3,4,3,3,4,3,2,4,2,4,1,1,1,1,2,1,2,3,4,1,1,3,2,5,1,1,3,4,1,1,1,Пожалуй так,Пожалуй так,Верно,Пожалуй так,"Нет, это совсем не так","Нет, это совсем не так",Пожалуй так,"Нет, это совсем не так","Нет, это совсем не так",Верно,"Нет, это совсем не так",Верно,Пожалуй так,Пожалуй так,Верно,Верно,Пожалуй так,"Нет, это совсем не так",Пожалуй так,"Нет, это совсем не так"
21.04.2021 0:25:50,Руслан,Техническая,Смешанный формат,Смешанный формат,"Удобно, тратиться меньше времени на дорогу",3-6 часов,4,4,3,4,2,4,2,2,4,1,5,3,2,2,2,2,4,3,4,2,1,2,1,1,4,2,1,4,4,1,1,1,"Нет, это совсем не так",Пожалуй так,"Нет, это совсем не так",Верно,Верно,"Нет, это совсем не так","Нет, это совсем не так",Пожалуй так,"Нет, это совсем не так",Пожалуй так,"Нет, это совсем не так","Нет, это совсем не так","Нет, это совсем не так",Пожалуй так,Пожалуй так,Верно,Пожалуй так,Верно,Пожалуй так,Верно
21.04.2021 0:30:40,Анастасия,Техническая,Смешанный формат,Очно в вузе,"Атмосфера дома не способствует обучению. Лично у меня работоспособность выше в подходящей обстановке, которую дома создать сложно. ",Более 6 часов,6,5,5,2,2,5,3,4,5,1,2,5,2,1,4,3,4,5,5,3,4,2,1,5,1,1,1,3,5,1,5,3,"Нет, это совсем не так",Верно,Совершенно верно,Пожалуй так,Совершенно верно,"Нет, это совсем не так","Нет, это совсем не так",Пожалуй так,"Нет, это совсем не так",Пожалуй так,Верно,Верно,Совершенно верно,Совершенно верно,Верно,Пожалуй так,"Нет, это совсем не так","Нет, это совсем не так",Пожалуй так,Пожалуй так
21.04.2021 0:36:24,9-й студент группы Э-01-18,Техническая,Смешанный формат,Смешанный формат,"На дистанте понравилось создавать электронные конспекты, все пары записываются на видео и можно легко пересмотреть. Но и ходить хотя бы на физ-ру тоже надо. [И для таких длинных ответов нужна многострочная форма, а не однострочная! Спасибо]",Более 6 часов,2,4,3,5,4,2,2,1,2,2,2,1,1,1,2,3,1,3,1,1,2,1,1,2,3,1,1,3,2,3,1,1,Пожалуй так,"Нет, это совсем не так","Нет, это совсем не так","Нет, это совсем не так",Совершенно верно,Верно,Верно,"Нет, это совсем не так",Пожалуй так,Верно,"Нет, это совсем не так",Пожалуй так,Совершенно верно,Пожалуй так,"Нет, это совсем не так",Совершенно верно,Верно,"Нет, это совсем не так",Пожалуй так,"Нет, это совсем не так"
21.04.2021 3:03:45,,Другое,Очно в вузе,Дистанционно,,1-3 часа,7,4,3,2,2,5,5,5,3,3,3,5,5,2,5,5,5,5,5,5,5,1,4,5,5,5,1,5,5,5,5,5,"Нет, это совсем не так",Совершенно верно,"Нет, это совсем не так",Совершенно верно,"Нет, это совсем не так","Нет, это совсем не так",Пожалуй так,Пожалуй так,Совершенно верно,"Нет, это совсем не так",Пожалуй так,Пожалуй так,"Нет, это совсем не так",Пожалуй так,Верно,Пожалуй так,Верно,Верно,Пожалуй так,Верно
21.04.2021 5:54:05,Ольга,Техническая,Смешанный формат,Смешанный формат,Удобно ,1-3 часа,5,5,4,2,2,5,4,3,2,4,3,4,2,1,5,4,5,4,3,4,2,4,3,4,4,3,1,2,4,1,2,1,Пожалуй так,Верно,Верно,Верно,"Нет, это совсем не так",Пожалуй так,"Нет, это совсем не так",Верно,"Нет, это совсем не так",Пожалуй так,Пожалуй так,Совершенно верно,Верно,Пожалуй так,Верно,Верно,Верно,"Нет, это совсем не так",Пожалуй так,Верно
21.04.2021 7:19:29,Сергей,Техническая,Смешанный формат,Смешанный формат,,3-6 часов,3,4,3,3,3,4,4,2,3,3,2,5,2,1,2,2,5,1,3,1,2,1,1,1,3,1,1,1,4,1,1,3,Пожалуй так,Совершенно верно,"Нет, это совсем не так","Нет, это совсем не так","Нет, это совсем не так","Нет, это совсем не так","Нет, это совсем не так",Верно,Пожалуй так,Пожалуй так,"Нет, это совсем не так","Нет, это совсем не так","Нет, это совсем не так","Нет, это совсем не так",Верно,Пожалуй так,"Нет, это совсем не так","Нет, это совсем не так",Совершенно верно,"Нет, это совсем не так"
21.04.2021 10:47:54,Настасья ,Техническая,Смешанный формат,Дистанционно,"Меньше стресса, больгп времени на другие интересы и спорт, также можно пересматривать лекции, если что то не успел понять. ",Более 6 часов,7,3,4,5,4,5,2,1,2,3,2,2,1,1,3,2,4,2,2,1,1,3,1,2,2,1,2,2,5,1,3,1,Пожалуй так,Верно,Верно,"Нет, это совсем не так",Пожалуй так,Верно,Пожалуй так,Пожалуй так,Пожалуй так,Совершенно верно,Верно,"Нет, это совсем не так",Совершенно верно,Пожалуй так,"Нет, это совсем не так",Совершенно верно,Пожалуй так,"Нет, это совсем не так",Верно,Пожалуй так
21.04.2021 11:07:53,Кристина ,Социальная,Дистанционно,Заочно,Занимает меньше времени ,3-6 часов,5,5,3,4,3,4,5,5,5,4,2,4,4,4,4,5,5,4,5,5,5,5,5,5,4,3,4,4,5,3,2,4,"Нет, это совсем не так",Верно,Пожалуй так,Пожалуй так,Верно,"Нет, это совсем не так","Нет, это совсем не так",Верно,Верно,Пожалуй так,"Нет, это совсем не так",Пожалуй так,Пожалуй так,Пожалуй так,Совершенно верно,Пожалуй так,Верно,Верно,"Нет, это совсем не так",Верно
21.04.2021 21:34:46,Полина,Другое,Очно в вузе,Очно в вузе,"Не могу концентрироваться, сложно заставить себя что-то делать",1-3 часа,6,5,5,4,4,2,4,3,3,2,5,2,2,1,3,5,2,2,3,3,4,5,2,2,2,1,2,1,4,1,1,1,Верно,Пожалуй так,"Нет, это совсем не так","Нет, это совсем не так","Нет, это совсем не так",Пожалуй так,"Нет, это совсем не так",Совершенно верно,"Нет, это совсем не так",Совершенно верно,"Нет, это совсем не так","Нет, это совсем не так",Совершенно верно,Пожалуй так,Совершенно верно,Совершенно верно,Пожалуй так,"Нет, это совсем не так",Пожалуй так,"Нет, это совсем не так"
21.04.2021 21:45:30,Великолепный Человек-Паук,Техническая,Смешанный формат,Смешанный формат,"Дома удобнее учиться, но иногда хочется подвигаться и встретиться с коллегами",3-6 часов,0,2,3,3,1,5,1,1,5,3,1,5,2,1,3,3,1,5,1,3,1,5,5,1,1,1,1,1,3,5,5,1,Пожалуй так,Пожалуй так,"Нет, это совсем не так","Нет, это совсем не так","Нет, это совсем не так","Нет, это совсем не так",Совершенно верно,Пожалуй так,"Нет, это совсем не так",Верно,"Нет, это совсем не так","Нет, это совсем не так",Верно,Пожалуй так,"Нет, это совсем не так",Верно,"Нет, это совсем не так",Пожалуй так,Совершенно верно,"Нет, это совсем не так"
22.04.2021 12:23:24,,Техническая,Очно в вузе,Очно в вузе,,1-3 часа,1,5,3,4,5,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Пожалуй так,Пожалуй так,"Нет, это совсем не так","Нет, это совсем не так",Пожалуй так,Пожалуй так,Верно,Верно,Пожалуй так,Совершенно верно,Пожалуй так,Пожалуй так,Совершенно верно,Верно,"Нет, это совсем не так",Пожалуй так,Пожалуй так,Пожалуй так,Совершенно верно,"Нет, это совсем не так"
22.04.2021 13:26:01,По имени ,Техническая,Очно в вузе,Смешанный формат,"Посещение универа забирает много сил, всегда устаешь после него",Более 6 часов,6,4,3,3,2,5,4,2,5,2,3,5,2,3,5,4,5,5,5,5,5,1,5,4,5,2,1,4,5,3,3,1,"Нет, это совсем не так",Пожалуй так,"Нет, это совсем не так",Пожалуй так,Совершенно верно,"Нет, это совсем не так",Пожалуй так,Совершенно верно,Верно,Верно,Пожалуй так,Пожалуй так,Верно,Совершенно верно,Пожалуй так,Верно,Пожалуй так,"Нет, это совсем не так",Верно,Совершенно верно
22.04.2021 13:52:27,Роман,Техническая,Очно в вузе,Дистанционно,"Удобнее работать со структурированным материалом в электронном формате, всегда иметь к нему доступ, иметь видеозаписи лекций и семинаров",1-3 часа,5,2,2,3,2,5,4,3,3,3,3,1,3,2,4,4,2,5,5,4,3,2,3,4,2,1,1,1,4,3,1,3,"Нет, это совсем не так",Верно,Пожалуй так,Верно,Пожалуй так,"Нет, это совсем не так","Нет, это совсем не так",Верно,Верно,Пожалуй так,Пожалуй так,Верно,Пожалуй так,Пожалуй так,Пожалуй так,Пожалуй так,Верно,Верно,Верно,Совершенно верно
22.04.2021 19:02:15,Полина,Техническая,Смешанный формат,Смешанный формат,"Семинары продуктивнее проходят очно, а лекции удобно слушать из дома. ",1-3 часа,1,4,4,4,4,5,2,1,2,3,4,1,2,3,4,5,2,4,4,3,4,2,4,4,2,1,1,1,4,1,1,2,Пожалуй так,Совершенно верно,Верно,"Нет, это совсем не так",Пожалуй так,Верно,Пожалуй так,Совершенно верно,Верно,Верно,Совершенно верно,Верно,Пожалуй так,Верно,Верно,Верно,Верно,Совершенно верно,"Нет, это совсем не так",Верно
22.04.2021 22:06:12,маэстро,Техническая,Смешанный формат,Дистанционно,смотреть лекции из кроватки и не просыпаться рано,1-3 часа,3,4,2,3,2,4,5,3,4,1,4,3,2,4,1,4,1,2,4,2,5,1,2,5,2,2,2,2,4,4,2,2,Верно,Верно,Совершенно верно,Пожалуй так,"Нет, это совсем не так",Пожалуй так,"Нет, это совсем не так",Верно,Верно,Верно,Совершенно верно,Пожалуй так,"Нет, это совсем не так",Верно,Верно,Верно,Верно,Совершенно верно,"Нет, это совсем не так",Пожалуй так